JobTypeFormAnswerId,JobTypeFormQuestionId,Description,CreatedOn,CreatedBy,StatusId,ModifiedOn,ModifiedBy,LinkedJobTypeId,SortOrder,ColorCodeId,ActionsRequired,,,,,,,,,,,,,,
1760,737,Yes,14/11/2021 11:13,6808,1,14/11/2021 11:13,0,0,1,0,NULL,,,,,,,,,,,,,,
1761,737,No,14/11/2021 11:13,6808,1,14/11/2021 11:13,0,0,2,0,NULL,,,,,,,,,,,,,,
1762,738,Yes,14/11/2021 11:14,6808,1,14/11/2021 11:14,0,0,1,0,NULL,,,,,,,,,,,,,,
1763,738,No,14/11/2021 11:14,6808,1,14/11/2021 11:14,0,0,2,0,NULL,,,,,,,,,,,,,,
1764,739,Yes,14/11/2021 12:12,6808,1,14/11/2021 12:12,0,0,1,0,NULL,,,,,,,,,,,,,,
1765,739,No,14/11/2021 12:12,6808,1,14/11/2021 12:12,0,0,2,0,NULL,,,,,,,,,,,,,,
1766,740,Yes,14/11/2021 12:13,6808,1,14/11/2021 12:13,0,0,1,0,NULL,,,,,,,,,,,,,,
1767,740,No,14/11/2021 12:13,6808,1,14/11/2021 12:13,0,0,2,0,NULL,,,,,,,,,,,,,,
1768,741,Yes,14/11/2021 12:13,6808,1,14/11/2021 12:13,0,0,1,0,NULL,,,,,,,,,,,,,,
1769,741,No,14/11/2021 12:13,6808,1,14/11/2021 12:13,0,0,2,0,NULL,,,,,,,,,,,,,,
1770,742,Yes,14/11/2021 12:13,6808,1,14/11/2021 12:13,0,0,1,0,NULL,,,,,,,,,,,,,,
1771,742,No,14/11/2021 12:13,6808,1,14/11/2021 12:13,0,0,2,0,NULL,,,,,,,,,,,,,,
1772,744,Yes,14/11/2021 12:14,6808,1,14/11/2021 12:14,0,0,1,0,NULL,,,,,,,,,,,,,,
1773,744,No,14/11/2021 12:14,6808,1,14/11/2021 12:14,0,0,2,0,NULL,,,,,,,,,,,,,,
1774,743,Yes,14/11/2021 12:14,6808,1,14/11/2021 12:14,0,0,1,0,NULL,,,,,,,,,,,,,,
1775,743,No,14/11/2021 12:14,6808,1,14/11/2021 12:14,0,0,2,0,NULL,,,,,,,,,,,,,,
1776,745,Yes,14/11/2021 12:14,6808,1,14/11/2021 12:14,0,0,1,0,NULL,,,,,,,,,,,,,,
1777,745,No,14/11/2021 12:14,6808,1,14/11/2021 12:14,0,0,2,0,NULL,,,,,,,,,,,,,,
1778,746,Yes,14/11/2021 12:14,6808,1,14/11/2021 12:15,0,0,1,0,NULL,,,,,,,,,,,,,,
1779,746,No,14/11/2021 12:14,6808,1,14/11/2021 12:15,0,0,2,0,NULL,,,,,,,,,,,,,,
1780,747,Yes,14/11/2021 12:15,6808,1,14/11/2021 12:15,0,0,1,0,NULL,,,,,,,,,,,,,,
1781,747,No,14/11/2021 12:15,6808,1,14/11/2021 12:15,0,0,2,0,NULL,,,,,,,,,,,,,,
1782,748,Yes,14/11/2021 12:15,6808,1,14/11/2021 12:15,0,0,1,0,NULL,,,,,,,,,,,,,,
1783,748,No,14/11/2021 12:15,6808,1,14/11/2021 12:15,0,0,2,0,NULL,,,,,,,,,,,,,,
1784,749,Yes,14/11/2021 12:15,6808,1,14/11/2021 12:15,0,0,1,0,NULL,,,,,,,,,,,,,,
